Long_form,A_ions,B_ions,C_ions,A_ion_coefficient,B_ion_coefficient,C_ion_coefficient
CsSnI3,Cs,Sn,I,1,1,3
CsSnBr0.3I2.7,Cs,Sn,Br; I,1,1,0.3; 2.7
CsSnBr1.5I1.5,Cs,Sn,Br; I,1,1,1.5; 1.5
CsSnBr2.7I0.3,Cs,Sn,Br; I,1,1,2.7; 0.3
CsSnBr3,Cs,Sn,Br,1,1,3
CsSnBrI2,Cs,Sn,Br; I,1,1,1; 2
CsSnBr2I,Cs,Sn,Br; I,1,1,2; 1
MAPbI3,MA,Pb,I,1,1,3
MAPbBr3,MA,Pb,Br,1,1,3
Cs0.05FA0.788MA0.162PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.05; 0.788; 0.162,1,0.51; 2.49
Cs0.05FA0.788GU0.032MA0.129PbBr0.51I2.49,Cs; FA; GU; MA,Pb,Br; I,0.05; 0.788; 0.032; 0.129,1,0.51; 2.49
Cs0.05FA0.788GU0.065MA0.097PbBr0.51I2.49,Cs; FA; GU; MA,Pb,Br; I,0.05; 0.788; 0.065; 0.097,1,0.51; 2.49
Cs0.05FA0.788GU0.097MA0.065PbBr0.51I2.49,Cs; FA; GU; MA,Pb,Br; I,0.05; 0.788; 0.097; 0.065,1,0.51; 2.49
Cs0.05FA0.788GU0.129MA0.032PbBr0.51I2.49,Cs; FA; GU; MA,Pb,Br; I,0.05; 0.788; 0.129; 0.032,1,0.51; 2.49
Cs0.05FA0.788GU0.162PbBr0.51I2.49,Cs; FA; GU,Pb,Br; I,0.05; 0.788; 0.162,1,0.51; 2.49
MAPbBr0.09I2.91,MA,Pb,Br; I,1,1,0.09; 2.91
MAPbBr0.3I2.7,MA,Pb,Br; I,1,1,0.3; 2.7
MAPbBr0.6I2.4,MA,Pb,Br; I,1,1,0.6; 2.4
MAPbBr1.2I1.8,MA,Pb,Br; I,1,1,1.2; 1.8
MAPbBr1.8I1.2,MA,Pb,Br; I,1,1,1.8; 1.2
FA0.85MA0.15PbBr0.45I2.55,FA; MA,Pb,Br; I,0.85; 0.15,1,0.45; 2.55
Cs0.05FA0.827MA0.123PbBr0.369I2.631,Cs; FA; MA,Pb,Br; I,0.05; 0.827; 0.123,1,0.369; 2.631
Cs0.05FA0.788MA0.162PbBr0.3I2.7,Cs; FA; MA,Pb,Br; I,0.05; 0.788; 0.162,1,0.3; 2.7
Cs0.05FA0.788MA0.162PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.05; 0.788; 0.162,1,0.5; 2.5
CsPbBr0.45I2.55,Cs,Pb,Br; I,1,1,0.45; 2.55
CsSnBr0.5I2.5,Cs,Sn,Br; I,1,1,0.5; 2.5
CsSnBr0.6I2.4,Cs,Sn,Br; I,1,1,0.6; 2.4
CsSnBr2.5I0.5,Cs,Sn,Br; I,1,1,2.5; 0.5
CsPbBrI2,Cs,Pb,Br; I,1,1,1; 2
Cs0.17FA0.83PbBr0.51I2.49,Cs; FA,Pb,Br; I,0.17; 0.83,1,0.51; 2.49
FAPbI3,FA,Pb,I,1,1,3
Cs0.05FA0.95PbBr0.15I2.85,Cs; FA,Pb,Br; I,0.05; 0.95,1,0.15; 2.85
Cs0.1FA0.9PbBr0.3I2.7,Cs; FA,Pb,Br; I,0.1; 0.9,1,0.3; 2.7
Cs0.15FA0.85PbBr0.45I2.55,Cs; FA,Pb,Br; I,0.15; 0.85,1,0.45; 2.55
Cs0.2FA0.8PbBr0.6I2.4,Cs; FA,Pb,Br; I,0.2; 0.8,1,0.6; 2.4
Cs0.01MA0.99PbBr0.03I2.97,Cs; MA,Pb,Br; I,0.01; 0.99,1,0.03; 2.97
Cs0.02MA0.98PbBr0.06I2.94,Cs; MA,Pb,Br; I,0.02; 0.98,1,0.06; 2.94
Cs0.03MA0.97PbBr0.09I2.91,Cs; MA,Pb,Br; I,0.03; 0.97,1,0.09; 2.91
MAPbBr0.15I2.85,MA,Pb,Br; I,1,1,0.15; 2.85
