material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap
mp-1522833,BaCaEuWO6,10,Cubic,-2.844937338,158.7362284,6.372895317,0
mp-1522876,BaCaEuWO6,20,Tetragonal,-2.921278307,305.4000635,6.624814381,0.1556
mp-1519427,BaCaFeBiO6,10,Cubic,-2.147983424,141.1438916,6.332166541,0.2216
mp-1521698,BaCaFeWO6,10,Cubic,-2.498643676,132.0801659,6.450627966,0
mp-1519159,BaCaGaBiO6,10,Cubic,-2.262215306,139.2522776,6.583673926,0.0373
mp-1523201,BaCaGdBiO6,20,Triclinic,-2.781578738,315.7113133,6.728511442,1.4407
mp-1523231,BaCaGdBiO6,40,Orthorhombic,-2.780642847,634.0130855,6.701020004,1.5525
mp-1523232,BaCaGdBiO6,10,Cubic,-2.671635551,163.6131347,6.491737928,1.7011
mp-1516983,BaCaGdNbO6,10,Cubic,-3.309836872,155.2113538,5.601317984,2.5616
mp-1517031,BaCaGdNbO6,40,Orthorhombic,-3.40090976,595.6660674,5.838090803,2.8243
mp-1521131,BaCaGdSbO6,40,Orthorhombic,-3.023915166,595.8910661,6.157506046,3.3444
mp-1521194,BaCaGdSbO6,10,Cubic,-2.961382866,152.9486125,5.99744382,3.2399
mp-1521197,BaCaGdSbO6,20,Triclinic,-3.02423553,297.0324576,6.176434171,3.3061
mp-1521804,BaCaHfNbO6,10,Cubic,-3.380671267,140.9651372,6.417600941,0
mp-1520046,BaCaHfSnO6,10,Cubic,-3.143207672,141.9462468,6.675103693,3.6182
mp-1521252,BaCaHfWO6,10,Cubic,-3.056130819,141.0703002,7.483196846,0
mp-1516790,BaCaHfZrO6,10,Cubic,-3.635092758,146.4952979,6.156268171,3.3163
mp-1518025,BaCaInBiO6,20,Triclinic,-2.287276574,299.9060852,6.613227589,0.8219
mp-1518032,BaCaInBiO6,40,Orthorhombic,-2.280773597,600.0764177,6.610315415,0.5144
mp-1518191,BaCaInBiO6,10,Cubic,-2.181698493,153.334955,6.467368114,0
mp-1520258,BaCaInSbO6,10,Cubic,-2.46537779,141.7988571,5.972126535,0.9295
mp-1519241,BaCaLaBiO6,40,Orthorhombic,-2.779050503,640.5432399,6.44248019,1.9504
