,material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap,A_ions,B_ions,C_ions,Tolerance_factor,Octahedral_factor
0,mp-1522833,BaCaEuWO6,10,Cubic,-2.844937338,158.7362284,6.372895317,0.0,Ba; Ca,Eu; W,O,0.8896857750158966,0.6321428571428572
1,mp-1522876,BaCaEuWO6,20,Tetragonal,-2.921278307,305.4000635,6.624814381,0.1556,Ba; Ca,Eu; W,O,0.8896857750158966,0.6321428571428572
2,mp-1519427,BaCaFeBiO6,10,Cubic,-2.147983424,141.1438916,6.332166541,0.2216,Ba; Ca,Fe; Bi,O,0.9892613118789899,0.4678571428571429
3,mp-1521698,BaCaFeWO6,10,Cubic,-2.498643676,132.0801659,6.450627966,0.0,Ba; Ca,Fe; W,O,0.972694734885801,0.4928571428571428
4,mp-1519159,BaCaGaBiO6,10,Cubic,-2.262215306,139.2522776,6.583673926,0.0373,Ba; Ca,Ga; Bi,O,0.972694734885801,0.4928571428571428
5,mp-1523201,BaCaGdBiO6,20,Triclinic,-2.781578738,315.7113133,6.728511442,1.4407,Ba; Ca,Gd; Bi,O,0.9039270768836479,0.6064285714285714
6,mp-1523231,BaCaGdBiO6,40,Orthorhombic,-2.780642847,634.0130855,6.701020004,1.5525,Ba; Ca,Gd; Bi,O,0.9039270768836479,0.6064285714285714
7,mp-1523232,BaCaGdBiO6,10,Cubic,-2.671635551,163.6131347,6.491737928,1.7011,Ba; Ca,Gd; Bi,O,0.9039270768836479,0.6064285714285714
8,mp-1516983,BaCaGdNbO6,10,Cubic,-3.309836872,155.2113538,5.601317984,2.5616,Ba; Ca,Gd; Nb,O,0.9287035157201114,0.5635714285714285
9,mp-1517031,BaCaGdNbO6,40,Orthorhombic,-3.40090976,595.6660674,5.838090803,2.8243,Ba; Ca,Gd; Nb,O,0.9287035157201114,0.5635714285714285
10,mp-1521131,BaCaGdSbO6,40,Orthorhombic,-3.023915166,595.8910661,6.157506046,3.3444,Ba; Ca,Gd; Sb,O,0.9372669414067885,0.5492857142857143
